Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
floydWarshall/3,2.2628946730547218e-7,2.2215214956756136e-7,2.3243127646378134e-7,1.676620264004327e-8,1.214211386444361e-8,2.5843177918819058e-8
floydWarshall/7,3.978686418819332e-7,3.8384686787224684e-7,4.3214651009566777e-7,6.915052505635495e-8,2.7095739569759603e-8,1.329229628600837e-7
floydWarshall/11,5.600432407827977e-7,5.497832471722789e-7,5.776054169092027e-7,4.328567423037374e-8,2.807288518744086e-8,8.005840002210974e-8
floydWarshall/15,7.520427762513352e-7,7.36297177567823e-7,7.72888697243443e-7,5.775898488941847e-8,4.513387718175158e-8,7.472722541541601e-8
floydWarshall/19,9.861068415268129e-7,9.58667809504384e-7,1.0174804222297798e-6,9.526238865492025e-8,7.704725396001312e-8,1.2487507940924157e-7
floydWarshall/23,1.266028996484777e-6,1.1852711458806014e-6,1.4156419284797746e-6,3.670102451387311e-7,2.187529608430649e-7,5.650804491508018e-7
floydWarshall/27,1.3477225189742424e-6,1.2992448532069754e-6,1.4434298966297678e-6,2.293612980409432e-7,1.3996469202688688e-7,4.213728617518354e-7
floydWarshall/31,1.5043631413393603e-6,1.469813259927008e-6,1.5864965450372174e-6,1.6243483198079002e-7,9.75938241429093e-8,2.9685075183424147e-7
floydWarshall/35,1.7195312403599162e-6,1.6859061740150407e-6,1.7640600463666252e-6,1.3151827237066687e-7,9.711113705497615e-8,1.6778277214656074e-7
floydWarshall/39,1.806950470319293e-6,1.7724588499593644e-6,1.8592705647701498e-6,1.3419767902025438e-7,9.066266667321161e-8,1.9088332018453372e-7
shortestPaths/3,3.277034225296745e-8,3.206394319424786e-8,3.4127347857500964e-8,3.161600603467021e-9,2.068783038657448e-9,5.664386675361677e-9
shortestPaths/7,3.902428415872494e-8,3.848800729842486e-8,3.997167284861796e-8,2.303392923451008e-9,1.4242768937492426e-9,3.7932857695658446e-9
shortestPaths/11,3.914711669313479e-8,3.8489330248161814e-8,4.0118653674570047e-8,2.5397735595638094e-9,1.8661514346528766e-9,3.4268532040105854e-9
shortestPaths/15,4.616979253108382e-8,4.5547928249399754e-8,4.699259491296566e-8,2.28098726796619e-9,1.7251094259078254e-9,3.1947151395859276e-9
shortestPaths/19,4.697868999045073e-8,4.6241950270603735e-8,4.8138533528044077e-8,3.148120821399287e-9,2.165968975040344e-9,4.368794635071017e-9
shortestPaths/23,4.7245663205929916e-8,4.6489453419470286e-8,4.837756473231448e-8,3.035739293915869e-9,2.230346793617806e-9,3.943567643160276e-9
shortestPaths/27,4.800551868569712e-8,4.605830128197358e-8,5.302809279047074e-8,9.292021076097594e-9,1.8355294759645391e-9,1.614381665658441e-8
shortestPaths/31,5.456339493202795e-8,5.398839139015534e-8,5.5658085059730777e-8,2.597498225509894e-9,1.5212882045250596e-9,4.133395322743537e-9
shortestPaths/35,6.405292898445045e-8,6.200882695355777e-8,6.615677920368668e-8,6.796684719988702e-9,5.560957163549083e-9,8.349539279950794e-9
